333,'577176707','Shell_NatGas',4394,133,359,0,58,'2013-02-14 23:45:04'
334,'38220933','Shell_Careers',12777,41,1029,0,224,'2013-02-14 23:45:04'
335,'38199580','ShellMotorsport',20595,137,945,4,802,'2013-02-14 23:45:05'
336,'702247658','Shell_Australia',431,152,246,1,3,'2013-02-14 23:45:05'
337,'61216579','Shell_US',15010,148,794,0,324,'2013-02-14 23:45:05'
338,'950080579','Shell_Nederland',147,0,38,0,1,'2013-02-14 23:45:06'
339,'413387003','Shell_Alaska',2480,468,1010,8,37,'2013-02-14 23:45:07'
340,'20663500','Shell',115429,128,811,4,1594,'2013-02-14 23:45:07'
341,'17816786','shell_ecomar',3238,598,1537,0,61,'2013-02-14 23:45:07'
342,'577176707','Shell_NatGas',4394,133,359,0,58,'2013-02-14 23:45:07'
343,'38220933','Shell_Careers',12777,41,1029,0,224,'2013-02-14 23:45:08'
344,'38199580','ShellMotorsport',20595,137,945,4,802,'2013-02-14 23:45:08'
345,'702247658','Shell_Australia',431,152,246,1,3,'2013-02-14 23:45:08'
346,'950080579','Shell_Nederland',146,0,39,0,1,'2013-02-15 23:45:04'
347,'20663500','Shell',115459,128,812,4,1594,'2013-02-15 23:45:04'
348,'17816786','shell_ecomar',3242,598,1540,0,61,'2013-02-15 23:45:05'
349,'577176707','Shell_NatGas',4400,133,359,0,59,'2013-02-15 23:45:05'
350,'38220933','Shell_Careers',12794,41,1029,0,224,'2013-02-15 23:45:05'
351,'38199580','ShellMotorsport',20595,138,952,5,802,'2013-02-15 23:45:05'
352,'702247658','Shell_Australia',430,152,247,1,3,'2013-02-15 23:45:05'
353,'61216579','Shell_US',15031,148,794,0,324,'2013-02-15 23:45:05'
354,'413387003','Shell_Alaska',2485,469,1010,8,37,'2013-02-15 23:45:06'
355,'950080579','Shell_Nederland',146,0,39,0,1,'2013-02-15 23:45:07'
356,'20663500','Shell',115459,128,812,4,1594,'2013-02-15 23:45:08'
357,'17816786','shell_ecomar',3242,598,1540,0,61,'2013-02-15 23:45:09'
358,'577176707','Shell_NatGas',4400,133,359,0,59,'2013-02-15 23:45:10'
359,'38220933','Shell_Careers',12794,41,1029,0,224,'2013-02-15 23:45:10'
360,'38199580','ShellMotorsport',20595,138,952,5,802,'2013-02-15 23:45:11'
361,'702247658','Shell_Australia',430,152,247,1,3,'2013-02-15 23:45:12'
